timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1774460211878,4461,Login Flow,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-2,,true,,13481,1104,10,10,null,0,11853,910
1774460215674,1502,open login page,200,OK,Thread Group 1-2,text,true,,3910,159,7,7,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1502,0,910
1774460221206,1795,Login  Request,200,OK,Thread Group 1-2,text,true,,4843,530,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,956,0,0
1774460221206,956,Login  Request-0,302,Found,Thread Group 1-2,text,true,,927,325,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,956,0,0
1774460222162,839,Login  Request-1,200,OK,Thread Group 1-2,text,true,,3916,205,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,839,0,0
1774460227028,1164,dashboard,200,OK,Thread Group 1-2,text,true,,4728,415,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,572,0,0
1774460227028,573,dashboard-0,302,Found,Thread Group 1-2,text,true,,927,210,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/dashboard/index,572,0,0
1774460227602,590,dashboard-1,200,OK,Thread Group 1-2,text,true,,3801,205,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,590,0,0
1774460213877,3497,Login Flow,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-4,,true,,13451,1105,10,10,null,0,11405,493
1774460218424,1270,open login page,200,OK,Thread Group 1-4,text,true,,3889,159,9,9,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1270,0,493
1774460223426,1183,Login  Request,200,OK,Thread Group 1-4,text,true,,4846,531,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,566,0,0
1774460223426,566,Login  Request-0,302,Found,Thread Group 1-4,text,true,,927,326,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,566,0,0
1774460223993,616,Login  Request-1,200,OK,Thread Group 1-4,text,true,,3919,205,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,616,0,0
1774460227735,1044,dashboard,200,OK,Thread Group 1-4,text,true,,4716,415,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,494,0,0
1774460227735,494,dashboard-0,302,Found,Thread Group 1-4,text,true,,927,210,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/dashboard/index,494,0,0
1774460228230,549,dashboard-1,200,OK,Thread Group 1-4,text,true,,3789,205,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,548,0,0
1774460210894,4256,Login Flow,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-1,,true,,13467,1107,10,10,null,0,13833,910
1774460215674,1502,open login page,200,OK,Thread Group 1-1,text,true,,3910,159,7,7,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1501,0,910
1774460221274,1690,Login  Request,200,OK,Thread Group 1-1,text,true,,4841,533,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,772,0,0
1774460221274,773,Login  Request-0,302,Found,Thread Group 1-1,text,true,,927,328,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,772,0,0
1774460222050,914,Login  Request-1,200,OK,Thread Group 1-1,text,true,,3914,205,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,913,0,0
1774460227919,1064,dashboard,200,OK,Thread Group 1-1,text,true,,4716,415,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,524,0,0
